plan_id,plan_name,plan_type,tier,monthly_premium,deductible,out_of_pocket_max
PLN001,Bronze HMO 1,HMO,Bronze,706.16,1000,6000
PLN002,Bronze PPO 2,PPO,Bronze,657.52,5000,3000
PLN003,Bronze HDHP 3,HDHP,Bronze,172.35,1000,6000
PLN004,Silver HMO 4,HMO,Silver,687.01,5000,
PLN005,Platinum PPO 5,PPO,Platinum,591.95,500,6000
PLN006,Gold HDHP 6,HDHP,Gold,358.4,1000,8000
PLN007,Bronze HMO 7,HMO,Bronze,434.95,1500,8000
PLN008,Bronze EPO 8,EPO,Bronze,697.3,5000,3000
PLN009,Bronze HDHP 9,HDHP,Bronze,564.03,5000,8000
PLN010,Bronze PPO 10,PPO,Bronze,184.37,1000,8000
PLN011,Silver HMO 11,HMO,Silver,799.86,2500,8000
PLN012,Gold HDHP 12,HDHP,Gold,271.99,1500,6000
PLN013,Bronze EPO 13,EPO,Bronze,606.85,1000,6000
PLN014,Platinum PPO 14,PPO,Platinum,434.59,5000,6000
PLN015,Bronze EPO 15,EPO,Bronze,321.79,500,8000
PLN016,Gold HDHP 16,HDHP,Gold,199.64,5000,8000
PLN017,Platinum PPO 17,PPO,Platinum,446.72,2500,6000
PLN018,Silver EPO 18,EPO,Silver,334.97,5000,8000
PLN019,Platinum HDHP 19,HDHP,Platinum,421.5,1000,
PLN020,Bronze HMO 20,HMO,Bronze,795.83,1000,6000
PLN003,Bronze HDHP 3,HDHP,Bronze,172.35,1000,6000
PLN008,Bronze EPO 8,EPO,Bronze,697.3,5000,3000
